"trip_id,stop_id,stop_sequence,arrival_time,departure_time"
"B1_trip_1,B1_292,1,08:00:00,08:00:00"
"B1_trip_1,B1_136,2,08:00:00,08:00:00"
"B1_trip_1,B1_188,3,08:00:00,08:00:00"
"B1_trip_1,B1_210,4,08:00:00,08:00:00"
"B1_trip_1,B1_40,5,08:00:00,08:00:00"
"B1_trip_1,B1_185,6,08:00:00,08:00:00"
"B1_trip_1,B1_56,7,08:00:00,08:00:00"
"B1_trip_1,B1_118,8,08:00:00,08:00:00"
"B1_trip_10,B1_239,1,08:00:00,08:00:00"
"B1_trip_10,B1_176,2,08:00:00,08:00:00"
"B1_trip_10,B1_292,3,08:00:00,08:00:00"
"B1_trip_10,B1_11,4,08:00:00,08:00:00"
"B1_trip_10,B1_136,5,08:00:00,08:00:00"
"B1_trip_10,B1_188,6,08:00:00,08:00:00"
"B1_trip_10,B1_210,7,08:00:00,08:00:00"
"B1_trip_10,B1_185,8,08:00:00,08:00:00"
"B1_trip_10,B1_150,9,08:00:00,08:00:00"
"B1_trip_10,B1_118,10,08:00:00,08:00:00"
"B1_trip_101,B1_231,1,08:00:00,08:00:00"
"B1_trip_101,B1_256,2,08:00:00,08:00:00"
"B1_trip_101,B1_208,3,08:00:00,08:00:00"
"B1_trip_101,B1_81,4,08:00:00,08:00:00"
"B1_trip_101,B1_222,5,08:00:00,08:00:00"
"B1_trip_101,B1_234,6,08:00:00,08:00:00"
"B1_trip_101,B1_185,7,08:00:00,08:00:00"
"B1_trip_101,B1_150,8,08:00:00,08:00:00"
"B1_trip_101,B1_329,9,08:00:00,08:00:00"
"B1_trip_101,B1_171,10,08:00:00,08:00:00"
"B1_trip_101,B1_154,11,08:00:00,08:00:00"
"B1_trip_101,B1_164,12,08:00:00,08:00:00"
"B1_trip_102,B1_267,1,08:00:00,08:00:00"
"B1_trip_102,B1_126,2,08:00:00,08:00:00"
"B1_trip_102,B1_208,3,08:00:00,08:00:00"
"B1_trip_102,B1_81,4,08:00:00,08:00:00"
"B1_trip_102,B1_222,5,08:00:00,08:00:00"
"B1_trip_102,B1_128,6,08:00:00,08:00:00"
"B1_trip_102,B1_277,7,08:00:00,08:00:00"
"B1_trip_102,B1_74,8,08:00:00,08:00:00"
"B1_trip_102,B1_114,9,08:00:00,08:00:00"
"B1_trip_102,B1_162,10,08:00:00,08:00:00"
"B1_trip_104,B1_13,1,08:00:00,08:00:00"
"B1_trip_104,B1_208,2,08:00:00,08:00:00"
"B1_trip_104,B1_208,3,08:00:00,08:00:00"
"B1_trip_104,B1_81,4,08:00:00,08:00:00"
"B1_trip_104,B1_28,5,08:00:00,08:00:00"
"B1_trip_104,B1_222,6,08:00:00,08:00:00"
"B1_trip_104,B1_200,7,08:00:00,08:00:00"
"B1_trip_104,B1_142,8,08:00:00,08:00:00"
"B1_trip_104,B1_104,9,08:00:00,08:00:00"
"B1_trip_106,B1_18,1,08:00:00,08:00:00"
"B1_trip_106,B1_15,2,08:00:00,08:00:00"
"B1_trip_106,B1_161,3,08:00:00,08:00:00"
"B1_trip_106,B1_188,4,08:00:00,08:00:00"
"B1_trip_106,B1_81,5,08:00:00,08:00:00"
"B1_trip_106,B1_121,6,08:00:00,08:00:00"
"B1_trip_106,B1_147,7,08:00:00,08:00:00"
"B1_trip_106,B1_132,8,08:00:00,08:00:00"
"B1_trip_107,B1_227,1,08:00:00,08:00:00"
"B1_trip_107,B1_113,2,08:00:00,08:00:00"
"B1_trip_107,B1_86,3,08:00:00,08:00:00"
"B1_trip_107,B1_231,4,08:00:00,08:00:00"
"B1_trip_107,B1_256,5,08:00:00,08:00:00"
"B1_trip_107,B1_334,6,08:00:00,08:00:00"
"B1_trip_107,B1_121,7,08:00:00,08:00:00"
"B1_trip_107,B1_268,8,08:00:00,08:00:00"
"B1_trip_107,B1_143,9,08:00:00,08:00:00"
"B1_trip_107,B1_304,10,08:00:00,08:00:00"
"B1_trip_11,B1_20,1,08:00:00,08:00:00"
"B1_trip_11,B1_15,2,08:00:00,08:00:00"
"B1_trip_11,B1_161,3,08:00:00,08:00:00"
"B1_trip_11,B1_188,4,08:00:00,08:00:00"
"B1_trip_11,B1_17,5,08:00:00,08:00:00"
"B1_trip_11,B1_81,6,08:00:00,08:00:00"
"B1_trip_11,B1_208,7,08:00:00,08:00:00"
"B1_trip_11,B1_86,8,08:00:00,08:00:00"
"B1_trip_11,B1_256,9,08:00:00,08:00:00"
"B1_trip_11,B1_292,10,08:00:00,08:00:00"
"B1_trip_112,B1_247,1,08:00:00,08:00:00"
"B1_trip_112,B1_252,2,08:00:00,08:00:00"
"B1_trip_112,B1_126,3,08:00:00,08:00:00"
"B1_trip_112,B1_27,4,08:00:00,08:00:00"
"B1_trip_112,B1_38,5,08:00:00,08:00:00"
"B1_trip_112,B1_90,6,08:00:00,08:00:00"
"B1_trip_112,B1_208,7,08:00:00,08:00:00"
"B1_trip_112,B1_81,8,08:00:00,08:00:00"
"B1_trip_112,B1_188,9,08:00:00,08:00:00"
"B1_trip_112,B1_161,10,08:00:00,08:00:00"
"B1_trip_112,B1_103,11,08:00:00,08:00:00"
"B1_trip_113,B1_169,1,08:00:00,08:00:00"
"B1_trip_113,B1_136,2,08:00:00,08:00:00"
"B1_trip_113,B1_86,3,08:00:00,08:00:00"
"B1_trip_113,B1_41,4,08:00:00,08:00:00"
"B1_trip_113,B1_327,5,08:00:00,08:00:00"
"B1_trip_113,B1_254,6,08:00:00,08:00:00"
"B1_trip_113,B1_256,7,08:00:00,08:00:00"
"B1_trip_113,B1_151,8,08:00:00,08:00:00"
"B1_trip_113,B1_212,9,08:00:00,08:00:00"
"B1_trip_113,B1_207,10,08:00:00,08:00:00"
"B1_trip_113,B1_310,11,08:00:00,08:00:00"
"B1_trip_115,B1_14,1,08:00:00,08:00:00"
"B1_trip_115,B1_75,2,08:00:00,08:00:00"
"B1_trip_115,B1_274,3,08:00:00,08:00:00"
"B1_trip_115,B1_213,4,08:00:00,08:00:00"
"B1_trip_115,B1_102,5,08:00:00,08:00:00"
"B1_trip_115,B1_210,6,08:00:00,08:00:00"
"B1_trip_115,B1_250,7,08:00:00,08:00:00"
"B1_trip_115,B1_150,8,08:00:00,08:00:00"
"B1_trip_115,B1_182,9,08:00:00,08:00:00"
"B1_trip_119,B1_326,1,08:00:00,08:00:00"
"B1_trip_119,B1_216,2,08:00:00,08:00:00"
"B1_trip_119,B1_113,3,08:00:00,08:00:00"
"B1_trip_119,B1_153,4,08:00:00,08:00:00"
"B1_trip_119,B1_298,5,08:00:00,08:00:00"
"B1_trip_119,B1_208,6,08:00:00,08:00:00"
"B1_trip_119,B1_132,7,08:00:00,08:00:00"
"B1_trip_119,B1_209,8,08:00:00,08:00:00"
"B1_trip_119,B1_30,9,08:00:00,08:00:00"
"B1_trip_119,B1_251,10,08:00:00,08:00:00"
"B1_trip_119,B1_206,11,08:00:00,08:00:00"
"B1_trip_12,B1_199,1,08:00:00,08:00:00"
"B1_trip_12,B1_100,2,08:00:00,08:00:00"
"B1_trip_12,B1_21,3,08:00:00,08:00:00"
"B1_trip_12,B1_91,4,08:00:00,08:00:00"
"B1_trip_12,B1_188,5,08:00:00,08:00:00"
"B1_trip_12,B1_102,6,08:00:00,08:00:00"
"B1_trip_12,B1_155,7,08:00:00,08:00:00"
"B1_trip_12,B1_56,8,08:00:00,08:00:00"
"B1_trip_12,B1_118,9,08:00:00,08:00:00"
"B1_trip_120,B1_118,1,08:00:00,08:00:00"
"B1_trip_120,B1_65,2,08:00:00,08:00:00"
"B1_trip_120,B1_185,3,08:00:00,08:00:00"
"B1_trip_120,B1_39,4,08:00:00,08:00:00"
"B1_trip_120,B1_155,5,08:00:00,08:00:00"
"B1_trip_120,B1_258,6,08:00:00,08:00:00"
"B1_trip_120,B1_81,7,08:00:00,08:00:00"
"B1_trip_120,B1_208,8,08:00:00,08:00:00"
"B1_trip_120,B1_256,9,08:00:00,08:00:00"
"B1_trip_120,B1_41,10,08:00:00,08:00:00"
"B1_trip_120,B1_246,11,08:00:00,08:00:00"
"B1_trip_121,B1_169,1,08:00:00,08:00:00"
"B1_trip_121,B1_234,2,08:00:00,08:00:00"
"B1_trip_121,B1_40,3,08:00:00,08:00:00"
"B1_trip_121,B1_155,4,08:00:00,08:00:00"
"B1_trip_121,B1_258,5,08:00:00,08:00:00"
"B1_trip_121,B1_81,6,08:00:00,08:00:00"
"B1_trip_121,B1_208,7,08:00:00,08:00:00"
"B1_trip_121,B1_113,8,08:00:00,08:00:00"
"B1_trip_121,B1_298,9,08:00:00,08:00:00"
"B1_trip_121,B1_111,10,08:00:00,08:00:00"
"B1_trip_125,B1_205,1,08:00:00,08:00:00"
"B1_trip_125,B1_245,2,08:00:00,08:00:00"
"B1_trip_125,B1_113,3,08:00:00,08:00:00"
"B1_trip_125,B1_298,4,08:00:00,08:00:00"
"B1_trip_125,B1_208,5,08:00:00,08:00:00"
"B1_trip_125,B1_81,6,08:00:00,08:00:00"
"B1_trip_125,B1_234,7,08:00:00,08:00:00"
"B1_trip_125,B1_40,8,08:00:00,08:00:00"
"B1_trip_125,B1_262,9,08:00:00,08:00:00"
"B1_trip_125,B1_154,10,08:00:00,08:00:00"
"B1_trip_125,B1_125,11,08:00:00,08:00:00"
"B1_trip_125,B1_118,12,08:00:00,08:00:00"
"B1_trip_126,B1_118,1,08:00:00,08:00:00"
"B1_trip_126,B1_56,2,08:00:00,08:00:00"
"B1_trip_126,B1_65,3,08:00:00,08:00:00"
"B1_trip_126,B1_185,4,08:00:00,08:00:00"
"B1_trip_126,B1_146,5,08:00:00,08:00:00"
"B1_trip_126,B1_187,6,08:00:00,08:00:00"
"B1_trip_126,B1_145,7,08:00:00,08:00:00"
"B1_trip_126,B1_272,8,08:00:00,08:00:00"
"B1_trip_126,B1_292,9,08:00:00,08:00:00"
"B1_trip_126,B1_256,10,08:00:00,08:00:00"
"B1_trip_126,B1_52,11,08:00:00,08:00:00"
"B1_trip_127,B1_111,1,08:00:00,08:00:00"
"B1_trip_127,B1_113,2,08:00:00,08:00:00"
"B1_trip_127,B1_298,3,08:00:00,08:00:00"
"B1_trip_127,B1_143,4,08:00:00,08:00:00"
"B1_trip_127,B1_330,5,08:00:00,08:00:00"
"B1_trip_127,B1_81,6,08:00:00,08:00:00"
"B1_trip_127,B1_17,7,08:00:00,08:00:00"
"B1_trip_127,B1_188,8,08:00:00,08:00:00"
"B1_trip_127,B1_91,9,08:00:00,08:00:00"
"B1_trip_127,B1_213,10,08:00:00,08:00:00"
"B1_trip_127,B1_161,11,08:00:00,08:00:00"
"B1_trip_127,B1_20,12,08:00:00,08:00:00"
"B1_trip_129,B1_144,1,08:00:00,08:00:00"
"B1_trip_129,B1_110,2,08:00:00,08:00:00"
"B1_trip_129,B1_100,3,08:00:00,08:00:00"
"B1_trip_129,B1_31,4,08:00:00,08:00:00"
"B1_trip_129,B1_37,5,08:00:00,08:00:00"
"B1_trip_129,B1_84,6,08:00:00,08:00:00"
"B1_trip_129,B1_202,7,08:00:00,08:00:00"
"B1_trip_129,B1_132,8,08:00:00,08:00:00"
"B1_trip_13,B1_101,1,08:00:00,08:00:00"
"B1_trip_13,B1_76,2,08:00:00,08:00:00"
"B1_trip_13,B1_67,3,08:00:00,08:00:00"
"B1_trip_13,B1_161,4,08:00:00,08:00:00"
"B1_trip_13,B1_213,5,08:00:00,08:00:00"
"B1_trip_13,B1_185,6,08:00:00,08:00:00"
"B1_trip_13,B1_156,7,08:00:00,08:00:00"
"B1_trip_13,B1_200,8,08:00:00,08:00:00"
"B1_trip_13,B1_257,9,08:00:00,08:00:00"
"B1_trip_13,B1_281,10,08:00:00,08:00:00"
"B1_trip_131,B1_231,1,08:00:00,08:00:00"
"B1_trip_131,B1_256,2,08:00:00,08:00:00"
"B1_trip_131,B1_44,3,08:00:00,08:00:00"
"B1_trip_131,B1_146,4,08:00:00,08:00:00"
"B1_trip_131,B1_234,5,08:00:00,08:00:00"
"B1_trip_131,B1_262,6,08:00:00,08:00:00"
"B1_trip_131,B1_150,7,08:00:00,08:00:00"
"B1_trip_131,B1_182,8,08:00:00,08:00:00"
"B1_trip_131,B1_125,9,08:00:00,08:00:00"
"B1_trip_131,B1_118,10,08:00:00,08:00:00"
"B1_trip_132,B1_163,1,08:00:00,08:00:00"
"B1_trip_132,B1_67,2,08:00:00,08:00:00"
"B1_trip_132,B1_45,3,08:00:00,08:00:00"
"B1_trip_132,B1_161,4,08:00:00,08:00:00"
"B1_trip_132,B1_335,5,08:00:00,08:00:00"
"B1_trip_132,B1_226,6,08:00:00,08:00:00"
"B1_trip_132,B1_31,7,08:00:00,08:00:00"
"B1_trip_132,B1_220,8,08:00:00,08:00:00"
"B1_trip_132,B1_53,9,08:00:00,08:00:00"
"B1_trip_132,B1_151,10,08:00:00,08:00:00"
"B1_trip_132,B1_66,11,08:00:00,08:00:00"
"B1_trip_133,B1_12,1,08:00:00,08:00:00"
"B1_trip_133,B1_56,2,08:00:00,08:00:00"
"B1_trip_133,B1_182,3,08:00:00,08:00:00"
"B1_trip_133,B1_155,4,08:00:00,08:00:00"
"B1_trip_133,B1_36,5,08:00:00,08:00:00"
"B1_trip_133,B1_102,6,08:00:00,08:00:00"
"B1_trip_133,B1_161,7,08:00:00,08:00:00"
"B1_trip_133,B1_67,8,08:00:00,08:00:00"
"B1_trip_133,B1_241,9,08:00:00,08:00:00"
"B1_trip_133,B1_221,10,08:00:00,08:00:00"
"B1_trip_134,B1_242,1,08:00:00,08:00:00"
"B1_trip_134,B1_67,2,08:00:00,08:00:00"
"B1_trip_134,B1_213,3,08:00:00,08:00:00"
"B1_trip_134,B1_148,4,08:00:00,08:00:00"
"B1_trip_134,B1_168,5,08:00:00,08:00:00"
"B1_trip_134,B1_65,6,08:00:00,08:00:00"
"B1_trip_134,B1_154,7,08:00:00,08:00:00"
"B1_trip_134,B1_158,8,08:00:00,08:00:00"
"B1_trip_134,B1_312,9,08:00:00,08:00:00"
"B1_trip_135,B1_276,1,08:00:00,08:00:00"
"B1_trip_135,B1_90,2,08:00:00,08:00:00"
"B1_trip_135,B1_208,3,08:00:00,08:00:00"
"B1_trip_135,B1_291,4,08:00:00,08:00:00"
"B1_trip_135,B1_102,5,08:00:00,08:00:00"
"B1_trip_135,B1_91,6,08:00:00,08:00:00"
"B1_trip_135,B1_161,7,08:00:00,08:00:00"
"B1_trip_135,B1_45,8,08:00:00,08:00:00"
"B1_trip_135,B1_67,9,08:00:00,08:00:00"
"B1_trip_135,B1_69,10,08:00:00,08:00:00"
"B1_trip_136,B1_118,1,08:00:00,08:00:00"
"B1_trip_136,B1_56,2,08:00:00,08:00:00"
"B1_trip_136,B1_65,3,08:00:00,08:00:00"
"B1_trip_136,B1_150,4,08:00:00,08:00:00"
"B1_trip_136,B1_155,5,08:00:00,08:00:00"
"B1_trip_136,B1_39,6,08:00:00,08:00:00"
"B1_trip_136,B1_81,7,08:00:00,08:00:00"
"B1_trip_136,B1_121,8,08:00:00,08:00:00"
"B1_trip_136,B1_23,9,08:00:00,08:00:00"
"B1_trip_136,B1_159,10,08:00:00,08:00:00"
"B1_trip_137,B1_20,1,08:00:00,08:00:00"
"B1_trip_137,B1_15,2,08:00:00,08:00:00"
"B1_trip_137,B1_161,3,08:00:00,08:00:00"
"B1_trip_137,B1_188,4,08:00:00,08:00:00"
"B1_trip_137,B1_81,5,08:00:00,08:00:00"
"B1_trip_137,B1_208,6,08:00:00,08:00:00"
"B1_trip_137,B1_76,7,08:00:00,08:00:00"
"B1_trip_137,B1_289,8,08:00:00,08:00:00"
"B1_trip_137,B1_212,9,08:00:00,08:00:00"
"B1_trip_137,B1_66,10,08:00:00,08:00:00"
"B1_trip_138,B1_328,1,08:00:00,08:00:00"
"B1_trip_138,B1_165,2,08:00:00,08:00:00"
"B1_trip_138,B1_290,3,08:00:00,08:00:00"
"B1_trip_138,B1_268,4,08:00:00,08:00:00"
"B1_trip_138,B1_330,5,08:00:00,08:00:00"
"B1_trip_138,B1_208,6,08:00:00,08:00:00"
"B1_trip_138,B1_81,7,08:00:00,08:00:00"
"B1_trip_138,B1_17,8,08:00:00,08:00:00"
"B1_trip_138,B1_45,9,08:00:00,08:00:00"
"B1_trip_138,B1_67,10,08:00:00,08:00:00"
"B1_trip_138,B1_73,11,08:00:00,08:00:00"
"B1_trip_139,B1_66,1,08:00:00,08:00:00"
"B1_trip_139,B1_214,2,08:00:00,08:00:00"
"B1_trip_139,B1_113,3,08:00:00,08:00:00"
"B1_trip_139,B1_298,4,08:00:00,08:00:00"
"B1_trip_139,B1_13,5,08:00:00,08:00:00"
"B1_trip_139,B1_90,6,08:00:00,08:00:00"
"B1_trip_139,B1_248,7,08:00:00,08:00:00"
"B1_trip_139,B1_121,8,08:00:00,08:00:00"
"B1_trip_139,B1_30,9,08:00:00,08:00:00"
"B1_trip_139,B1_206,10,08:00:00,08:00:00"
"B1_trip_14,B1_118,1,08:00:00,08:00:00"
"B1_trip_14,B1_154,2,08:00:00,08:00:00"
"B1_trip_14,B1_150,3,08:00:00,08:00:00"
"B1_trip_14,B1_40,4,08:00:00,08:00:00"
"B1_trip_14,B1_102,5,08:00:00,08:00:00"
"B1_trip_14,B1_188,6,08:00:00,08:00:00"
"B1_trip_14,B1_100,7,08:00:00,08:00:00"
"B1_trip_14,B1_11,8,08:00:00,08:00:00"
"B1_trip_14,B1_199,9,08:00:00,08:00:00"
"B1_trip_14,B1_324,10,08:00:00,08:00:00"
"B1_trip_140,B1_242,1,08:00:00,08:00:00"
"B1_trip_140,B1_76,2,08:00:00,08:00:00"
"B1_trip_140,B1_316,3,08:00:00,08:00:00"
"B1_trip_140,B1_213,4,08:00:00,08:00:00"
"B1_trip_140,B1_148,5,08:00:00,08:00:00"
"B1_trip_140,B1_99,6,08:00:00,08:00:00"
"B1_trip_140,B1_150,7,08:00:00,08:00:00"
"B1_trip_140,B1_158,8,08:00:00,08:00:00"
"B1_trip_140,B1_312,9,08:00:00,08:00:00"
"B1_trip_145,B1_163,1,08:00:00,08:00:00"
"B1_trip_145,B1_67,2,08:00:00,08:00:00"
"B1_trip_145,B1_301,3,08:00:00,08:00:00"
"B1_trip_145,B1_36,4,08:00:00,08:00:00"
"B1_trip_145,B1_155,5,08:00:00,08:00:00"
"B1_trip_145,B1_181,6,08:00:00,08:00:00"
"B1_trip_145,B1_197,7,08:00:00,08:00:00"
"B1_trip_145,B1_275,8,08:00:00,08:00:00"
"B1_trip_145,B1_156,9,08:00:00,08:00:00"
"B1_trip_146,B1_221,1,08:00:00,08:00:00"
"B1_trip_146,B1_67,2,08:00:00,08:00:00"
"B1_trip_146,B1_161,3,08:00:00,08:00:00"
"B1_trip_146,B1_188,4,08:00:00,08:00:00"
"B1_trip_146,B1_140,5,08:00:00,08:00:00"
"B1_trip_146,B1_208,6,08:00:00,08:00:00"
"B1_trip_146,B1_330,7,08:00:00,08:00:00"
"B1_trip_146,B1_243,8,08:00:00,08:00:00"
"B1_trip_146,B1_47,9,08:00:00,08:00:00"
"B1_trip_146,B1_159,10,08:00:00,08:00:00"
"B1_trip_148,B1_242,1,08:00:00,08:00:00"
"B1_trip_148,B1_109,2,08:00:00,08:00:00"
"B1_trip_148,B1_67,3,08:00:00,08:00:00"
"B1_trip_148,B1_45,4,08:00:00,08:00:00"
"B1_trip_148,B1_301,5,08:00:00,08:00:00"
"B1_trip_148,B1_188,6,08:00:00,08:00:00"
"B1_trip_148,B1_81,7,08:00:00,08:00:00"
"B1_trip_148,B1_121,8,08:00:00,08:00:00"
"B1_trip_148,B1_322,9,08:00:00,08:00:00"
"B1_trip_148,B1_23,10,08:00:00,08:00:00"
"B1_trip_148,B1_276,11,08:00:00,08:00:00"
"B1_trip_149,B1_66,1,08:00:00,08:00:00"
"B1_trip_149,B1_151,2,08:00:00,08:00:00"
"B1_trip_149,B1_256,3,08:00:00,08:00:00"
"B1_trip_149,B1_208,4,08:00:00,08:00:00"
"B1_trip_149,B1_132,5,08:00:00,08:00:00"
"B1_trip_149,B1_30,6,08:00:00,08:00:00"
"B1_trip_149,B1_47,7,08:00:00,08:00:00"
"B1_trip_149,B1_23,8,08:00:00,08:00:00"
"B1_trip_149,B1_279,9,08:00:00,08:00:00"
"B1_trip_150,B1_320,1,08:00:00,08:00:00"
"B1_trip_150,B1_216,2,08:00:00,08:00:00"
"B1_trip_150,B1_214,3,08:00:00,08:00:00"
"B1_trip_150,B1_330,4,08:00:00,08:00:00"
"B1_trip_150,B1_208,5,08:00:00,08:00:00"
"B1_trip_150,B1_140,6,08:00:00,08:00:00"
"B1_trip_150,B1_17,7,08:00:00,08:00:00"
"B1_trip_150,B1_39,8,08:00:00,08:00:00"
"B1_trip_150,B1_277,9,08:00:00,08:00:00"
"B1_trip_150,B1_114,10,08:00:00,08:00:00"
"B1_trip_150,B1_131,11,08:00:00,08:00:00"
"B1_trip_150,B1_233,12,08:00:00,08:00:00"
"B1_trip_151,B1_331,1,08:00:00,08:00:00"
"B1_trip_151,B1_119,2,08:00:00,08:00:00"
"B1_trip_151,B1_55,3,08:00:00,08:00:00"
"B1_trip_151,B1_106,4,08:00:00,08:00:00"
"B1_trip_151,B1_81,5,08:00:00,08:00:00"
"B1_trip_151,B1_81,6,08:00:00,08:00:00"
"B1_trip_151,B1_84,7,08:00:00,08:00:00"
"B1_trip_151,B1_22,8,08:00:00,08:00:00"
"B1_trip_151,B1_86,9,08:00:00,08:00:00"
"B1_trip_153,B1_117,1,08:00:00,08:00:00"
"B1_trip_153,B1_119,2,08:00:00,08:00:00"
"B1_trip_153,B1_96,3,08:00:00,08:00:00"
"B1_trip_153,B1_188,4,08:00:00,08:00:00"
"B1_trip_153,B1_17,5,08:00:00,08:00:00"
"B1_trip_153,B1_210,6,08:00:00,08:00:00"
"B1_trip_153,B1_174,7,08:00:00,08:00:00"
"B1_trip_153,B1_171,8,08:00:00,08:00:00"
"B1_trip_153,B1_6,9,08:00:00,08:00:00"
"B1_trip_159,B1_231,1,08:00:00,08:00:00"
"B1_trip_159,B1_292,2,08:00:00,08:00:00"
"B1_trip_159,B1_272,3,08:00:00,08:00:00"
"B1_trip_159,B1_136,4,08:00:00,08:00:00"
"B1_trip_159,B1_188,5,08:00:00,08:00:00"
"B1_trip_159,B1_102,6,08:00:00,08:00:00"
"B1_trip_159,B1_210,7,08:00:00,08:00:00"
"B1_trip_159,B1_155,8,08:00:00,08:00:00"
"B1_trip_159,B1_150,9,08:00:00,08:00:00"
"B1_trip_159,B1_318,10,08:00:00,08:00:00"
"B1_trip_159,B1_171,11,08:00:00,08:00:00"
"B1_trip_159,B1_118,12,08:00:00,08:00:00"
"B1_trip_162,B1_176,1,08:00:00,08:00:00"
"B1_trip_162,B1_113,2,08:00:00,08:00:00"
"B1_trip_162,B1_105,3,08:00:00,08:00:00"
"B1_trip_162,B1_100,4,08:00:00,08:00:00"
"B1_trip_162,B1_213,5,08:00:00,08:00:00"
"B1_trip_162,B1_168,6,08:00:00,08:00:00"
"B1_trip_162,B1_83,7,08:00:00,08:00:00"
"B1_trip_162,B1_80,8,08:00:00,08:00:00"
"B1_trip_165,B1_215,1,08:00:00,08:00:00"
"B1_trip_165,B1_214,2,08:00:00,08:00:00"
"B1_trip_165,B1_113,3,08:00:00,08:00:00"
"B1_trip_165,B1_107,4,08:00:00,08:00:00"
